"A1021","ENTALLY ACADEMY"
"A1058","SREE JAIN VIDYALAYA"
"A1071","BAITULMAL GIRLS HIGH SCHOOL"
"A1074","BELIAGHATA DESHBANDHU GIRLS HIGH SCHOOL"
"A1092","HOLY CHILD GIRLS HIGH SCHOOL"
"A1093","JAYASAWAL VIDYAMANDIR FOR GIRLS"
"A2061","SHYAMBAZAR VIDYAMANDIR"
"A2066","SHREE DIGAMBAR JAIN SHIKSHALAYA"
"A2083","BAGBAZAR MULTIPURPOSE GIRLS SCHOOL (GOVT. SPONS.)"
"A2101","HOLY CHILD INSTITUTE FOR GIRLS"
"A2115","ORIENTAL SEMINARY FOR GIRLS"
"A2128","SHYAMBAZAR BALIKA VIDYALAYA"
"A2144","ULTADANGA SAMMILITA BALIKA VIDYALAYA"
"A3018","BIJOYGARH ADARSHA VIDYALAYA"
"A3044","KAILASH VIDYAMANDIR"
"A3048","KASBA CHITTARANJAN HIGH SCHOOL"
"A3095","TOLLYGUNGE ADARSHA HINDI HIGH SCHOOL"
"A3110","BELTALA GIRLS MORNING HIGH SCHOOL"
"A3142","KASBA BALIKA VIDYALAYA"
"A3151","LAJPAT BALIKA VIDYALAYA"
"A3168","RAIPUR GIRLS' HIGH SCHOOL"
"A3180","TILJALA BALIKA VIDYALAYA"
"A3189","JAWAHARLAL NEHRU BALIKA VIDYAPITH"
"B1013","ATHPUR HIGH SCHOOL"
"B1014","BALIVARA SARASWATI VIDYAMANDIR"
"B1017","BARANAGAR NARENDRANATH VIDYAMANDIR"
"B1020","BARANAGAR RAMESWAR HIGH SCHOOL"
"B1030","BASUDEVPUR PALLI HITASADHANI HIGH SCHOOL"
"B1052","DUM DUM K.L.S.HINDI VIDYALAYA"
"B1064","DURGANAGAR NEPAL CHANDRA VIDYAPITH HIGH SCHOOL"
"B1088","JAGADDAL KAMALA HIGH SCHOOL"
"B1102","KANCHRAPARA JANATA HIGH SCHOOL"
"B1104","KANCHRAPARA RAMPRASAD HIGH SCHOOL"
"B1109","KANKINARA HIMAYATUL GURBA HIGH SCHOOL"
"B1111","KHARDAH MAKTAB HIGH SCHOOL"
"B1112","KHARDAH SIBNATH HIGH SCHOOL"
"B1116","LABAN HRAD BIDYAPITH"
"B1135","NARAINDAS BANGUR MEMORIAL MULTIPURPOSE SCHOOL(GOVT.SPON.)"
"B1137","NATAGARH SASHIMUKHI HIGH SCHOOL"
"B1160","RATHTALA FINGAPARA HIGH SCHOOL"
"B1162","SAHID RAMESWAR VIDYAMANDIR"
"B1166","SARAT COLONEY SARAT ACADEMY"
"B1176","SINTHE RAI BAHADUR BADRIDAS TULSAN VIDYAPITH"
"B1183","SODEPUR TIRTHA BHARATI SIKSHAMANDIR H SCHOOL"
"B1189","TALPUKUR KSHETROMOHAN MEMORIAL HIGH SCHOOL"
