"A1070","ARYA KANYA MAHAVIDYALAYA"
"A1071","BAITULMAL GIRLS HIGH SCHOOL"
"A1105","LORETO DAY SCHOOL (SEALDAH)"
"A2092","COSSIPORE INSTITUTION FOR GIRLS"
"A3067","NETAJI NAGAR VIDYAMANDIR"
"B1156","PRAFULLANAGAR ACHARYA PRAFULLA CH. VIDYAPITH"
"B1211","AHARAMPUR TAPATI BALIKA VIDYABITHI"
"B2208","BASUNAGAR HIGH SCHOOL"
"B3053","GOBINDA KATI SIKSHANIKETAN"
"B3073","KAMARGANTI HIGH SCHOOL"
"B3087","MAMINPUR SAGUNA HIGH SCHOOL"
"B4018","CHANDA LALITMOHON HIGH SCHOOL"
"B4087","PURATAN BONGAON HIGH SCHOOL (CO-ED)"
"C1054","BORAL SWAMIJI VIDYAPITH HIGH SCHOOL"
"C1281","BISHNUPUR GRIHASREE SIKSHAYATAN FOR GIRLS"
"C1286","CANNING DWARIKA NATH BALIKA VIDYALAYA"
"C1324","MODERNLAND GIRLS HIGH SCHOOL"
"C1429","NIVA ANANDA VIDYALAYA(HIGH SCHOOL)"
"C1507","SONAMUKHI DASPARA HIGH SCHOOL"
"C2057","GHATESWAR BIJOY KISSEN VIDYAMANDIR"
"C2104","LAKSHMINARAYANPUR SITANATH HIGH SCHOOL"
"C2160","RAJBALLAVPUR RANGILABAD RAMLAL MEMORIAL HIGH SCHOOL"
"D1090","NARAYANPUR HIGH SCHOOL"
"D1104","PUKHURIA HIGH SCHOOL"
"D3009","SPRINGDALE HIGH SCHOOL"
"E2030","HASANPUR RAJESWARI VIDYAPITH"
"E2065","BHAGABANGOLA BALIKA VIDYALAYA"
"E4089","TALGRAM HAMID SMRITY VIDYAPITH(HIGH SCHOOL)"
"F1019","BELKULAI CHANDRA KUMAR ADHAR CH. VIDYAPITH"
"F1108","SALKIA BIDYAPITH"
"F1165","CHAKPARA SARADA DEVI GIRLS HIGH SCHOOL"
"F1181","HOWRAH SARADAMONI BALIKA VIDYALAYA"
"F1238","POLGUSTIA NAZRUL SIKSHANIKETAN"
"F1244","BALITIKURI RAJKUMARI BALIKA VIDYALAYA"
"F2152","UDANG GIRLS' HIGH SCHOOL"
"G2145","PUINAN GIRLS' HIGH SCHOOL"
"G4098","TALPUR LAKSHIMONI BALIKA VIDYAMANDIR"
"G4115","BARUIPARA AVARANMOYEE BALIKA VIDYALAYA(HIGH SCHOOL)"
